date,tx_count,hashrate,active_addresses,block_count,fee_total_btc,source
2009-01-03,0,,0,0,0,coinmetrics
2009-01-04,0,,0,0,0,coinmetrics
2009-01-05,0,,0,0,0,coinmetrics
2009-01-06,0,,0,0,0,coinmetrics
2009-01-07,0,,0,0,0,coinmetrics
2009-01-08,0,,0,0,0,coinmetrics
2009-01-09,0,0.000000944495122962963,19,19,0,coinmetrics
2009-01-10,0,0.00000303232644740741,61,61,0,coinmetrics
2009-01-11,1,0.00000462305507555556,95,93,0,coinmetrics
2009-01-12,6,0.00000467276534518519,101,94,0,coinmetrics
2009-01-13,0,0.00000611436316444444,123,123,0,coinmetrics
2009-01-14,1,0.00000641262478222222,133,129,0,coinmetrics
2009-01-15,8,0.00000626349397333333,140,126,0,coinmetrics
2009-01-16,2,0.00000536870912,114,108,0,coinmetrics
2009-01-17,0,0.00000541841938962963,109,109,0,coinmetrics
2009-01-18,1,0.00000531899885037037,111,107,0,coinmetrics
2009-01-19,2,0.00000571668100740741,133,115,0,coinmetrics
2009-01-20,1,0.00000566697073777778,123,114,0,coinmetrics
2009-01-21,2,0.00000507044750222222,116,102,0,coinmetrics
2009-01-22,1,0.0000045236345362963,95,91,0,coinmetrics
2009-01-23,1,0.00000417566264888889,91,84,0,coinmetrics
2009-01-24,1,0.00000999176419555555,212,201,0,coinmetrics
2009-01-25,1,0.00000949466149925926,193,191,0,coinmetrics
2009-01-26,1,0.00000477218588444444,117,96,0,coinmetrics
2009-01-27,1,0.00000482189615407407,101,97,0,coinmetrics
2009-01-28,0,0.00000556755019851852,112,112,0,coinmetrics
2009-01-29,1,0.00000601494262518518,134,121,0,coinmetrics
2009-01-30,0,0.00000581610154666667,117,117,0,coinmetrics
2009-01-31,1,0.00000686001720888889,159,138,0,coinmetrics
2009-02-01,1,0.00000561726046814815,116,113,0,coinmetrics
2009-02-02,1,0.00000636291451259259,130,128,0,coinmetrics
2009-02-03,16,0.00000690972747851852,154,139,2.01,coinmetrics
2009-02-04,0,0.00000591552208592593,119,119,0,coinmetrics
2009-02-05,0,0.00000626349397333333,126,126,0,coinmetrics
2009-02-06,0,0.00000606465289481481,122,122,0,coinmetrics
2009-02-07,4,0.00000641262478222222,156,129,0,coinmetrics
2009-02-08,1,0.00000656175559111111,134,132,0,coinmetrics
2009-02-09,1,0.00000666117613037037,179,134,0,coinmetrics
2009-02-10,0,0.00000596523235555556,120,120,0,coinmetrics
2009-02-11,2,0.00000661146586074074,148,133,0,coinmetrics
2009-02-12,0,0.00000591552208592593,119,119,0,coinmetrics
2009-02-13,0,0.00000616407343407407,124,124,0,coinmetrics
2009-02-14,0,0.00000676059666962963,136,136,0,coinmetrics
2009-02-15,3,0.00000636291451259259,142,128,0,coinmetrics
2009-02-16,1,0.00000606465289481481,153,122,0,coinmetrics
2009-02-17,0,0.00000581610154666667,117,117,0,coinmetrics
2009-02-18,0,0.0000058658118162963,118,118,0,coinmetrics
2009-02-19,1,0.00000616407343407407,141,124,0,coinmetrics
2009-02-20,0,0.00000606465289481481,122,122,0,coinmetrics
2009-02-21,0,0.00000566697073777778,114,114,0,coinmetrics
2009-02-22,4,0.00000601494262518518,133,121,0,coinmetrics
2009-02-23,0,0.00000536870912,108,108,0,coinmetrics
2009-02-24,0,0.00000526928858074074,106,106,0,coinmetrics
2009-02-25,0,0.00000521957831111111,105,105,0,coinmetrics
2009-02-26,0,0.00000531899885037037,107,107,0,coinmetrics
2009-02-27,1,0.00000571668100740741,152,115,0,coinmetrics
2009-02-28,1,0.00000492131669333333,107,99,0,coinmetrics
2009-03-01,0,0.00000521957831111111,105,105,0,coinmetrics
2009-03-02,0,0.00000536870912,108,108,0,coinmetrics
2009-03-03,2,0.00000521957831111111,114,105,0,coinmetrics
2009-03-04,2,0.00000516986804148148,130,104,0,coinmetrics
2009-03-05,1,0.00000556755019851852,121,112,0,coinmetrics
