date,price_usd,volume_btc,num_trades,source
2010-07-18,0.0678842,75.01,5,mtgox
2010-07-19,0.08651794,574,10,mtgox
2010-07-20,0.07858595,262,18,mtgox
2010-07-21,0.07349948,575,28,mtgox
2010-07-22,0.06008531,2160,116,mtgox
2010-07-23,0.05871594,2402.5,42,mtgox
2010-07-24,0.05385177,496.32,16,mtgox
2010-07-25,0.05482699,1551.48,15,mtgox
2010-07-26,0.05348575,877,18,mtgox
2010-07-27,0.05836883,3373.69,37,mtgox
2010-07-28,0.05825565,4390.29,26,mtgox
2010-07-29,0.06556046,8058.49,54,mtgox
2010-07-30,0.06571989,3020.85,29,mtgox
2010-07-31,0.06063732,4022.25,43,mtgox
2010-08-01,0.06253179,2601,20,mtgox
2010-08-02,0.06146168,3599,18,mtgox
2010-08-03,0.06170627,9821.46,57,mtgox
2010-08-04,0.06032201,3494,18,mtgox
2010-08-05,0.06031086,5034.07,16,mtgox
2010-08-06,0.0615828,1395,13,mtgox
2010-08-07,0.06007667,2619,18,mtgox
2010-08-08,0.06024325,2201,5,mtgox
2010-08-09,0.0650669,13631.09,81,mtgox
2010-08-10,0.06782228,1310.39,17,mtgox
2010-08-11,0.07223019,14061.18,79,mtgox
2010-08-12,0.06521194,2062.31,13,mtgox
2010-08-13,0.06509338,3591.77,20,mtgox
2010-08-14,0.06705156,4404.2,17,mtgox
2010-08-15,0.06608965,4462.866,21,mtgox
2010-08-16,0.06493078,10731.468,49,mtgox
2010-08-17,0.06939317,13185.74,75,mtgox
2010-08-18,0.06900137,2953.975,20,mtgox
2010-08-19,0.06752327,741.115,6,mtgox
2010-08-20,0.06581606,4199.747,22,mtgox
2010-08-21,0.06592532,10443.86,22,mtgox
2010-08-22,0.06346953,18648.972,132,mtgox
2010-08-23,0.06559113,4297.49,36,mtgox
2010-08-24,0.06625027,6711.757,23,mtgox
2010-08-25,0.06594211,4228.88,23,mtgox
2010-08-26,0.0650032,3870.01,16,mtgox
2010-08-27,0.06478472,9009.973,26,mtgox
2010-08-28,0.06469913,6174.005,158,mtgox
2010-08-29,0.06456013,3173.402,15,mtgox
2010-08-30,0.06243933,34193.138,145,mtgox
2010-08-31,0.0626879,14886.907,43,mtgox
2010-09-01,0.06095562,7164.722,104,mtgox
2010-09-02,0.06121863,8150.73,25,mtgox
2010-09-03,0.06122225,892,27,mtgox
2010-09-04,0.06127427,3301,8,mtgox
2010-09-05,0.06241334,8459.24,60,mtgox
2010-09-06,0.06167912,910,4,mtgox
2010-09-07,0.06142333,3457.192,27,mtgox
2010-09-08,0.06112574,2345.41,10,mtgox
2010-09-09,0.06211468,1733.502,23,mtgox
2010-09-10,0.06109496,4939.788,24,mtgox
2010-09-11,0.06338669,7749.14,35,mtgox
2010-09-12,0.06170547,793.88,11,mtgox
2010-09-13,0.06274066,10076.336,41,mtgox
2010-09-14,0.06255921,14014.808,125,mtgox
2010-09-15,0.06113922,3651.85,19,mtgox
2010-09-16,0.06187479,730,2,mtgox
2010-09-17,0.06044378,7262,26,mtgox
2010-09-18,0.06030998,7092.609,23,mtgox
2010-09-19,0.06204093,12852.17,28,mtgox
2010-09-20,0.06228623,14307.94,33,mtgox
2010-09-21,0.06273023,5735.946,24,mtgox
2010-09-22,0.0620502,11560.4,30,mtgox
2010-09-23,0.06256514,15505.33,56,mtgox
2010-09-24,0.06233001,684.375,8,mtgox
2010-09-25,0.06181229,2152.5,17,mtgox
2010-09-26,0.06204958,12058.125,22,mtgox
2010-09-27,0.06217543,10752.245,47,mtgox
2010-09-28,0.06195829,7086.153,34,mtgox
2010-09-29,0.06179982,23475.642,63,mtgox
2010-09-30,0.06165763,7917.025,27,mtgox
2010-10-01,0.06198833,1717.45,19,mtgox
2010-10-02,0.06144968,13059.737,38,mtgox
2010-10-03,0.06132773,7172.633,35,mtgox
2010-10-04,0.0611815,33995.369,52,mtgox
2010-10-05,0.06172918,27526.613,89,mtgox
2010-10-06,0.06255091,33433.302,92,mtgox
2010-10-07,0.0643763,43692.981,114,mtgox
2010-10-08,0.07742437,139287.286,258,mtgox
2010-10-09,0.08573401,187846.954,365,mtgox
2010-10-10,0.09646694,50684.192,86,mtgox
2010-10-11,0.09900216,14092.905,18,mtgox
2010-10-12,0.09340401,25660.749,82,mtgox
2010-10-13,0.09585337,47557.265,68,mtgox
2010-10-14,0.09946039,37217.28,62,mtgox
2010-10-15,0.10367531,24643.334,36,mtgox
2010-10-16,0.10082104,6284.708,9,mtgox
2010-10-17,0.10195269,18222.191,16,mtgox
2010-10-18,0.10097924,25665.087,25,mtgox
2010-10-19,0.09997231,6235.1,18,mtgox
2010-10-20,0.10111705,31855,46,mtgox
2010-10-21,0.10290083,44867,35,mtgox
2010-10-22,0.10592543,34603.909,41,mtgox
2010-10-23,0.10885464,4423.469,11,mtgox
2010-10-24,0.11308579,13800.23,59,mtgox
2010-10-25,0.14686648,30299.635,49,mtgox
2010-10-26,0.15583911,19219.125,27,mtgox
2010-10-27,0.17672226,65605.872,63,mtgox
2010-10-28,0.18627936,21525.035,44,mtgox
2010-10-29,0.18755944,28686.852,49,mtgox
2010-10-30,0.19139786,26708.94,42,mtgox
2010-10-31,0.19409757,40337.756,45,mtgox
2010-11-01,0.19049945,21258.611,59,mtgox
2010-11-02,0.19157086,5853.394,15,mtgox
2010-11-03,0.19146106,61472.627,145,mtgox
2010-11-04,0.20974722,29698.431,57,mtgox
2010-11-05,0.23912214,36622.072,71,mtgox
2010-11-06,0.28687644,32756.129,100,mtgox
2010-11-07,0.3618001,77218.719,231,mtgox
2010-11-08,0.32434874,118203.827,240,mtgox
2010-11-09,0.26693204,47983.393,168,mtgox
2010-11-10,0.20107691,30387.028,140,mtgox
2010-11-11,0.22090158,5031.88,38,mtgox
2010-11-12,0.25772013,40720.385,91,mtgox
2010-11-13,0.28982058,21915.573,107,mtgox
2010-11-14,0.28459511,16844.327,61,mtgox
2010-11-15,0.27474968,8507.74,50,mtgox
2010-11-16,0.25374053,33931.012,57,mtgox
2010-11-17,0.26352859,32871.602,102,mtgox
2010-11-18,0.27380989,37446.671,93,mtgox
2010-11-19,0.27041917,2157.562,29,mtgox
2010-11-20,0.28111358,14652.694,84,mtgox
2010-11-21,0.27800115,765,10,mtgox
2010-11-22,0.27719933,28205.85,54,mtgox
2010-11-23,0.28038712,4856.923,23,mtgox
2010-11-24,0.28241204,2514.912,14,mtgox
2010-11-25,0.27982524,1679.595,58,mtgox
2010-11-26,0.28363999,33531.876,198,mtgox
2010-11-27,0.28262367,1825.388,8,mtgox
2010-11-28,0.27623641,20802.126,101,mtgox
2010-11-29,0.25108987,35055.403,153,mtgox
2010-11-30,0.21282016,21476.251,67,mtgox
2010-12-01,0.21484997,8157.894,50,mtgox
2010-12-02,0.23633805,20312.234,128,mtgox
2010-12-03,0.24657579,2570.345,30,mtgox
2010-12-04,0.2336567,28560.716,137,mtgox
2010-12-05,0.2052253,5740.175,71,mtgox
2010-12-06,0.19980765,4319.255,41,mtgox
2010-12-07,0.22005505,24592.915,106,mtgox
2010-12-08,0.2302534,3430.41,33,mtgox
2010-12-09,0.20678046,21336.327,136,mtgox
2010-12-10,0.1948432,1684.254,45,mtgox
2010-12-11,0.21890994,5788.686,41,mtgox
2010-12-12,0.2132882,1963.558,32,mtgox
2010-12-13,0.2222585,6415.59,52,mtgox
2010-12-14,0.23140203,10388.097,54,mtgox
2010-12-15,0.24456627,3684.68,27,mtgox
2010-12-16,0.24538781,14355.331,47,mtgox
2010-12-17,0.24772979,525.513,11,mtgox
2010-12-18,0.24641253,169.109,7,mtgox
2010-12-19,0.24365502,2000.757,13,mtgox
2010-12-20,0.25928646,10682.705,59,mtgox
2010-12-21,0.24841391,9225.789,41,mtgox
2010-12-22,0.2498057,3800.458,16,mtgox
2010-12-23,0.24979207,8650.148,43,mtgox
2010-12-24,0.24875499,5033.249,21,mtgox
2010-12-25,0.24956145,703,9,mtgox
2010-12-26,0.2534242,16584.97,29,mtgox
2010-12-27,0.25735068,4935.49,29,mtgox
2010-12-28,0.27456853,15438.708,47,mtgox
2010-12-29,0.28823182,18609.144,75,mtgox
2010-12-30,0.29919489,2539.873,8,mtgox
2010-12-31,0.29472078,1453.719,37,mtgox
2011-01-01,0.2984322,2821.243,16,mtgox
2011-01-02,0.29608181,5352.108,26,mtgox
2011-01-03,0.29529429,1425.19,25,mtgox
2011-01-04,0.29181988,1879.003,21,mtgox
2011-01-05,0.29733265,357.157,8,mtgox
2011-01-06,0.29835934,3456.489,19,mtgox
2011-01-07,0.30872781,42601.118,75,mtgox
2011-01-08,0.31424164,1629.438,21,mtgox
2011-01-09,0.32292491,1691.366,8,mtgox
2011-01-10,0.32451804,10355.828,37,mtgox
2011-01-11,0.32497425,4857.8,21,mtgox
2011-01-12,0.33508435,31359.765,68,mtgox
2011-01-13,0.35523967,20118.897,136,mtgox
2011-01-14,0.39405579,27130.957,77,mtgox
2011-01-15,0.390028,1515.661,29,mtgox
2011-01-16,0.39052608,2778.71,58,mtgox
2011-01-17,0.34870037,18241.146,139,mtgox
2011-01-18,0.31589243,15671.508,77,mtgox
2011-01-19,0.30824684,7291.627,35,mtgox
2011-01-20,0.34705043,19881.979,99,mtgox
2011-01-21,0.39535273,8477.545,83,mtgox
2011-01-22,0.42849777,10534.27,76,mtgox
2011-01-23,0.4404614,1148.402,27,mtgox
2011-01-24,0.40830844,11061.936,122,mtgox
2011-01-25,0.41653041,2163.718,25,mtgox
2011-01-26,0.40578382,15564.808,93,mtgox
2011-01-27,0.43622103,27708.195,61,mtgox
2011-01-28,0.4322981,5324.497,44,mtgox
2011-01-29,0.44438118,1448.382,9,mtgox
2011-01-30,0.459938,10383.593,71,mtgox
2011-01-31,0.51496256,63516.079,159,mtgox
2011-02-01,0.73709185,31562.117,168,mtgox
2011-02-02,0.73319062,5627.48,87,mtgox
2011-02-03,0.71137534,8524.501,100,mtgox
